Column27,x_coord,y_coord,heights1
STOW0341,135308.099,426786.676,1.22458302974701
STOW0318,144175.72,425763.436,4.52906560897827
STOW0319,140319.365,426064.222,0.952825248241425
STOW0320,140204.875,425982.562,1.87066161632538
STOW0323,140204.075,426003.372,1.85938572883606
STOW0325,140066.374,425934.523,2.0601544380188
STOW0326,140026.344,425929.722,2.05333018302917
STOW0327,140084.784,425940.132,1.80570089817047
STOW0329,140043.954,425932.922,2.13730001449585
ILPD0000,197498.27,503667.359,1.26749050617218
STOW0310,144621.211,425813.394,4.43225383758545
STOW0311,144622.981,425814.014,4.39050483703613
STOW0312,144606.481,425866.514,2.71719479560852
STOW0313,144614.371,425866.515,3.8511061668396
STOW0314,144612.981,425869.014,3.89741730690002
STOW0316,144184.98,425762.015,4.51779985427856
STOW0317,144159.42,425761.855,4.62830018997192
ILPD0002,630441.982,367092.317,
ILPD0003,630891.337,367988.048,
ILPD0006,1201540.045,12190.878,
ILPD0004,40384994.36,84215273.94,
ILPD0005,40294183.85,84151457.1,
ILPD0007,140980.579,410884.873,7.30157518386841
ILPD0008,69730.402,393429.501,4.07037401199341
STOW0189,197448.284,443955.015,10.7137041091919
STOW0190,197446.43,443951.307,10.59912109375
STOW0218,196110.726,442579.965,10.9691677093506
STOW0222,206772.038,446236.914,8.73101329803467
STOW0224,197742.279,444589.8,10.9577751159668
STOW0227,197866.047,435639.34,11.4266309738159
STOW0228,197089.084,443168.248,10.4318904876709
STOW0229,202227.202,445867.609,10.1694211959839
STOW0181,197295.566,443540.427,10.6214914321899
STOW0182,197296.725,443544.135,10.6473207473755
STOW0183,197299.969,443549.001,10.5404014587402
STOW0184,197319.899,443602.302,10.597526550293
STOW0185,197334.035,443645.87,10.5725059509277
STOW0186,197351.416,443689.438,9.81891822814941
STOW0187,197352.343,443754.558,10.9154281616211
STOW0188,197458.713,443950.148,10.2893018722534
STOW0172,195953.363,442552.972,11.575587272644
STOW0174,196263.491,442639.588,10.6717252731323
STOW0175,196294.34,442661.539,10.5762224197388
STOW0176,196195.711,442512.037,8.8772144317627
STOW0177,196102.272,442611.408,11.6726369857788
STOW0178,197106.696,443193.74,10.9110078811646
STOW0179,197238.094,443307.526,9.97482109069824
STOW0180,197288.382,443524.437,10.6636209487915
STOW0163,193831.963,440938.315,10.4011812210083
STOW0164,194511.858,442216.934,12.4986133575439
STOW0165,194690.219,442260.226,10.8041133880615
STOW0167,195098.884,442287.042,10.5006189346313
STOW0168,195415.887,442371.763,10.4167442321777
STOW0169,195428.25,442401.142,10.8976068496704
STOW0170,195534.746,442454.878,10.8889198303223
STOW0171,195643.286,442497.213,11.687424659729
STOW0137,195249.366,438288.872,11.7227210998535
STOW0155,195378.247,438251.925,10.6973352432251
STOW0156,195300.62,438289.442,11.4427633285522
STOW0157,195176.117,438337.768,10.9829502105713
STOW0158,195092.323,438583.212,11.0978546142578
STOW0159,195099.993,438603.154,10.7171287536621
STOW0160,195070.271,438605.071,11.6673746109009
STOW0161,195007.185,438704.207,12.1971292495728
STOW0100,203224.976,444991.734,8.46748447418213
STOW0101,206275.377,446534.426,10.6806793212891
STOW0102,206337.352,446485.823,8.94727897644043
STOW0104,206952.337,450667.457,8.32270622253418
STOW0105,212116.679,458021.977,10.0289182662964
STOW0106,212133.205,457805.08,8.35319900512695
STOW0107,211489.746,458733.603,7.71946001052856
STOW0108,210109.386,469540.724,7.2845664024353
STOW0092,197532.211,444271.278,10.5524835586548
STOW0093,197544.5,444302.536,10.5881080627441
STOW0094,197548.24,444309.748,10.5529909133911
STOW0095,197554.384,444328.448,10.7024240493774
STOW0096,201389.962,445157.538,11.0676002502441
STOW0097,202169.599,445857.322,10.4792795181274
STOW0098,203122.885,445037.507,8.5050802230835
STOW0099,203233.205,445008.192,8.77020645141602
STOW0084,195381.704,438250.888,10.7706460952759
STOW0085,197453.846,443982.129,11.1086187362671
STOW0086,197458.713,444002.754,11.5908832550049
STOW0087,197464.275,444023.147,11.3612661361694
STOW0088,197406.339,443865.794,10.4865264892578
STOW0089,197485.363,444092.438,11.4990224838257
STOW0090,197491.62,444120.48,11.6616287231445
STOW0091,197561.606,444274.588,10.1590967178345
STOW0076,195663.623,438101.565,11.4409713745117
STOW0077,195627.941,438129.523,11.0878810882568
STOW0078,195561.072,438173.437,11.7980089187622
STOW0079,195575.248,438160.589,11.0261478424072
STOW0080,195581.111,438194.35,10.9491491317749
STOW0081,195519.691,438202.215,10.6242971420288
STOW0082,195388.274,438246.392,11.2246036529541
STOW0083,195384.471,438284.255,10.5679397583008
STOW0068,197291.117,435981.127,11.5315284729004
STOW0069,197264.72,435983.38,11.5094432830811
STOW0070,197285.966,435969.217,11.4716548919678
STOW0071,197279.206,435992.393,11.3385152816772
STOW0072,197004.624,436395.739,12.4647150039673
STOW0073,196983.379,436474.605,12.2689361572266
STOW0074,196428.281,437600.361,12.065333366394
STOW0075,195705.269,438073.679,11.1855363845825
